"","x"
"1",1423
"2",1424
"3",1425
"4",1426
"5",1427
"6",1428
"7",1429
"8",1430
"9",1431
"10",1432
"11",1433
"12",1434
"13",1435
"14",1436
"15",1437
"16",1438
"17",1439
"18",1440
"19",1441
"20",1442
"21",1443
"22",1444
"23",1445
"24",1446
"25",1447
"26",1448
"27",1449
"28",1450
"29",1451
"30",1452
"31",1453
"32",1454
"33",1455
"34",1456
"35",1457
"36",1458
"37",1459
"38",1460
"39",1461
"40",1462
"41",1463
"42",1464
"43",1465
"44",1466
"45",1467
"46",1468
"47",1469
"48",1470
"49",1471
"50",1472
"51",1473
"52",1474
"53",1475
"54",1476
"55",1477
"56",1478
"57",1479
"58",1480
"59",1481
"60",1482
"61",1483
"62",1484
"63",1485
"64",1486
"65",1487
"66",1488
"67",1489
"68",1490
"69",1491
"70",1492
"71",1493
"72",1494
"73",1495
"74",1496
"75",1497
"76",1498
"77",1499
"78",1500
"79",1501
"80",1502
"81",1503
"82",1504
"83",1505
"84",1506
"85",1507
"86",1508
"87",1509
"88",1510
"89",1511
"90",1512
"91",1513
"92",1514
"93",1515
"94",1516
"95",1517
"96",1518
"97",1519
"98",1520
"99",1521
"100",1522
"101",1523
"102",1524
"103",1525
"104",1526
"105",1527
"106",1528
"107",1529
"108",1530
"109",1531
"110",1532
"111",1533
"112",1534
"113",1535
"114",1536
"115",1537
"116",1538
"117",1539
"118",1540
"119",1541
"120",1542
"121",1543
"122",1544
"123",1545
"124",1546
"125",1547
"126",1548
"127",1549
"128",1550
"129",1551
"130",1552
"131",1553
"132",1554
"133",1555
"134",1556
"135",1557
"136",1558
"137",1559
"138",1560
"139",1561
"140",1562
"141",1563
"142",1564
"143",1565
"144",1566
"145",1567
"146",1568
"147",1569
"148",1570
"149",1571
"150",1572
"151",1573
"152",1574
"153",1575
"154",1576
"155",1577
"156",1578
"157",1579
"158",1580
"159",1581
"160",1582
"161",1583
"162",1584
"163",1585
"164",1586
"165",1587
"166",1588
"167",1589
"168",1590
"169",1591
"170",1592
"171",1593
"172",1594
"173",1595
"174",1596
"175",1597
"176",1598
"177",1599
"178",1600
"179",1601
"180",1602
"181",1603
"182",1604
"183",1605
"184",1606
"185",1607
"186",1608
"187",1609
"188",1610
"189",1611
"190",1612
"191",1613
"192",1614
"193",1615
"194",1616
"195",1617
"196",1618
"197",1619
"198",1620
"199",1621
"200",1622
"201",1623
"202",1624
"203",1625
"204",1626
"205",1627
"206",1628
"207",1629
"208",1630
"209",1631
"210",1632
"211",1633
"212",1634
"213",1635
"214",1636
"215",1637
"216",1638
"217",1639
"218",1640
"219",1641
"220",1642
"221",1643
"222",1644
"223",1645
"224",1646
"225",1647
"226",1648
"227",1649
"228",1650
"229",1651
"230",1652
"231",1653
"232",1654
"233",1655
"234",1656
"235",1657
"236",1658
"237",1659
"238",1660
"239",1661
"240",1662
"241",1663
"242",1664
"243",1665
"244",1666
"245",1667
"246",1668
"247",1669
"248",1670
"249",1671
"250",1672
"251",1673
"252",1674
"253",1675
"254",1676
"255",1677
"256",1678
"257",1679
"258",1680
"259",1681
"260",1682
"261",1683
"262",1684
"263",1685
"264",1686
"265",1687
"266",1688
"267",1689
"268",1690
"269",1691
"270",1692
"271",1693
"272",1694
"273",1695
"274",1696
"275",1697
"276",1698
"277",1699
"278",1700
"279",1701
"280",1702
"281",1703
"282",1704
"283",1705
"284",1706
"285",1707
"286",1708
"287",1709
"288",1710
"289",1711
"290",1712
"291",1713
"292",1714
"293",1715
"294",1716
"295",1717
"296",1718
"297",1719
"298",1720
"299",1721
"300",1722
"301",1723
"302",1724
"303",1725
"304",1726
"305",1727
"306",1728
"307",1729
"308",1730
"309",1731
"310",1732
"311",1733
"312",1734
"313",1735
"314",1736
"315",1737
"316",1738
"317",1739
"318",1740
"319",1741
"320",1742
"321",1743
"322",1744
"323",1745
"324",1746
