"","x"
"1",33435
"2",41661
"3",45711
"4",10943
"5",52672
"6",23756
"7",17173
"8",52709
"9",19889
"10",39036
"11",35419
"12",31008
"13",28773
"14",12844
"15",49282
"16",51673
"17",25412
"18",32060
"19",53714
"20",53117
"21",49569
"22",49155
"23",4314
"24",26805
"25",34640
"26",NA
"27",41384
"28",30757
"29",44539
"30",40043
"31",35034
"32",45553
"33",696
"34",7324
"35",45473
"36",52799
"37",33193
"38",22456
"39",24715
"40",43097
"41",17023
"42",15752
"43",47311
"44",9811
"45",12704
"46",15131
"47",42877
"48",51356
"49",42851
"50",15152
"51",23079
"52",53629
"53",50349
"54",9221
"55",20897
"56",23768
"57",39661
"58",24066
"59",40762
"60",35568
"61",52336
"62",11282
"63",45023
"64",19303
"65",9237
"66",22985
"67",43224
"68",37590
"69",2080
"70",52346
"71",40638
"72",37495
"73",8569
"74",7019
"75",24389
"76",15867
"77",45225
"78",20930
"79",32622
"80",41954
"81",53063
"82",19820
"83",35403
"84",16665
"85",40137
"86",1700
"87",35345
"88",47061
"89",25004
"90",54964
"91",52353
"92",4898
"93",30526
"94",54419
"95",43797
"96",1094
"97",38802
"98",8016
"99",8017
"100",21997
"101",21995
"102",8916
"103",5630
"104",17375
"105",32664
"106",30084
"107",12531
"108",17840
"109",35002
"110",3279
"111",16246
"112",1504
"113",23161
"114",15810
"115",25129
"116",9598
"117",5992
"118",13147
"119",19364
"120",34470
"121",8631
"122",20664
"123",815
"124",24467
"125",19723
"126",31477
"127",32990
"128",10283
"129",55522
"130",38396
"131",49313
"132",37561
"133",46024
"134",10375
"135",22361
"136",12914
"137",17199
"138",39527
"139",12907
"140",17204
"141",7995
"142",28208
"143",10829
"144",3293
"145",26561
"146",45185
"147",29754
"148",46541
"149",11839
"150",3711
"151",19546
"152",17073
"153",14374
"154",55157
"155",51727
"156",19430
"157",1148
"158",32853
"159",27773
"160",41688
"161",33590
"162",20036
"163",21849
"164",9277
"165",47155
"166",14355
"167",30305
"168",41292
"169",15908
"170",20856
"171",5419
"172",38151
"173",35558
"174",15609
"175",19164
"176",36421
"177",55000
"178",32679
"179",6490
"180",5374
"181",8695
"182",44919
"183",45274
"184",12421
"185",NA
"186",51152
"187",30621
"188",13023
"189",49625
"190",50388
"191",29538
"192",13754
"193",27353
"194",27301
"195",21666
"196",19892
"197",33641
"198",2103
"199",13001
"200",23626
"201",22521
"202",33951
"203",23632
"204",48808
"205",19695
"206",53922
"207",53923
"208",47370
"209",18612
"210",37808
"211",55684
"212",39768
"213",22390
"214",NA
"215",9773
"216",18201
"217",19826
"218",375
"219",32656
"220",43897
"221",13927
"222",13859
"223",52792
"224",23730
"225",3373
"226",8194
"227",20942
"228",37695
"229",11773
"230",54438
"231",53477
"232",50890
"233",3595
"234",23074
"235",18419
"236",37628
"237",20809
"238",14425
"239",14337
"240",16905
"241",14231
"242",7811
"243",32964
"244",6054
"245",31614
"246",38473
"247",29601
"248",33103
"249",2396
"250",27589
"251",26707
"252",33112
"253",945
"254",24201
"255",20177
"256",9296
"257",43623
"258",16222
"259",20294
"260",262
"261",13324
"262",30806
"263",14040
"264",54693
"265",36617
"266",51984
"267",16136
"268",20314
"269",8205
"270",34396
"271",20946
"272",1830
"273",50243
"274",24260
"275",43872
"276",29446
"277",18126
"278",20010
"279",641
"280",29027
"281",7510
"282",48309
"283",4444
"284",23794
"285",34397
"286",44878
"287",23674
"288",33980
"289",42028
"290",10177
"291",143
"292",50319
"293",52305
"294",38311
"295",4752
"296",29252
"297",52992
"298",9561
"299",52958
"300",17527
"301",15949
"302",31616
"303",12996
"304",22240
"305",3615
"306",45779
"307",11100
"308",10472
"309",26585
"310",25802
"311",25039
"312",14388
"313",3644
"314",3113
"315",52184
"316",8377
"317",7936
"318",32757
"319",21835
"320",21812
"321",3340
"322",14943
"323",16369
"324",53399
"325",16523
"326",30708
"327",49520
"328",35182
"329",25619
"330",30873
"331",50529
"332",52322
"333",40110
"334",5690
"335",9363
"336",14835
"337",49404
"338",29432
"339",12642
"340",36766
"341",32547
"342",50397
"343",13567
"344",16435
"345",29220
"346",51785
"347",53047
"348",11881
"349",12028
"350",45903
"351",44866
"352",22587
"353",21654
"354",24437
"355",15847
"356",52919
"357",18491
"358",10292
"359",41905
"360",46934
"361",2591
"362",22004
"363",34524
"364",13702
"365",20410
"366",7884
"367",47088
"368",4585
"369",51780
"370",26643
"371",49173
"372",40135
"373",30394
"374",34817
"375",25094
"376",47338
"377",39512
"378",12852
"379",17418
"380",33291
"381",43244
"382",28086
"383",20154
"384",4780
"385",11381
"386",8225
