DCC	DCC netrin 1 receptor
EFNA1	ephrin-A1
EFNA5	ephrin-A5
EPHA5	EPH receptor A5
EPHA7	EPH receptor A7
GFRA1	GDNF family receptor alpha 1
LIMK1	LIM domain kinase 1
LRRC4	leucine rich repeat containing 4
NTNG1	netrin G1
ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)
SEMA3A	sema domain, immunoglobulin domain (Ig), short basic domain, secreted,(semaphorin) 3A
SEMA4A	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A
SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A
SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SLIT1	slit homolog 1 (Drosophila)
SLIT2	slit homolog 2 (Drosophila)
UNC5A	unc-5 homolog A (C. elegans)
FADS2	fatty acid desaturase 2
NDST4	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4
CDH10	cadherin 10, type 2 (T2-cadherin)
CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)
CDH4	cadherin 4, type 1, R-cadherin (retinal)
CDH8	cadherin 8, type 2
CDH9	cadherin 9, type 2 (T1-cadherin)
CHL1	cell adhesion molecule L1-like
CLSTN2	calsyntenin 2
CNTNAP2	contactin associated protein-like 2
CNTNAP4	contactin associated protein-like 4
DAB1	Dab, reelin signal transducer, homolog 1 (Drosophila)
ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)
MAG	myelin associated glycoprotein
NCAM1	neural cell adhesion molecule 1
NRXN3	neurexin 3
NTM	neurotrimin
OPCML	opioid binding protein/cell adhesion molecule-like
PCDH10	protocadherin 10
PCDH11X	protocadherin 11 X-linked
PCDH9	protocadherin 9
C1QA	complement component 1, q subcomponent, A chain
DLGAP3	discs, large (Drosophila) homolog-associated protein 3
PCSK1	proprotein convertase subtilisin/kexin type 1
STRIP2	striatin interacting protein 2
ARC	activity-regulated cytoskeleton-associated protein
DCX	doublecortin
ENC1	ectodermal-neural cortex 1 (with BTB domain)
GFAP	glial fibrillary acidic protein
NDEL1	nudE neurodevelopment protein 1-like 1
NEFH	neurofilament, heavy polypeptide
A2M	alpha-2-macroglobulin
COL24A1	collagen, type XXIV, alpha 1
NDNF	neuron-derived neurotrophic factor
NTNG2	netrin G2
PLAU	plasminogen activator, urokinase
RELN	reelin
ADCY5	adenylate cyclase 5
ADORA2A	adenosine A2a receptor
ADRA1A	adrenoceptor alpha 1A
ADRA1B	adrenoceptor alpha 1B
AVPR1A	arginine vasopressin receptor 1A
CCKAR	cholecystokinin A receptor
CNR1	cannabinoid receptor 1 (brain)
CNTN4	contactin 4
CRHR1	corticotropin releasing hormone receptor 1
CRHR2	corticotropin releasing hormone receptor 2
DRD1	dopamine receptor D1
DRD2	dopamine receptor D2
DRD4	dopamine receptor D4
DRD5	dopamine receptor D5
GNAL	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type
GPR161	G protein-coupled receptor 161
GPR6	G protein-coupled receptor 6
GRM1	glutamate receptor, metabotropic 1
GRM3	glutamate receptor, metabotropic 3
GRM7	glutamate receptor, metabotropic 7
HTR1A	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled
HTR1B	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled
HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled
NPY1R	neuropeptide Y receptor Y1
NPY2R	neuropeptide Y receptor Y2
OPRD1	opioid receptor, delta 1
OPRK1	opioid receptor, kappa 1
OPRM1	opioid receptor, mu 1
OXTR	oxytocin receptor
RHO	rhodopsin
RXFP1	relaxin/insulin-like family peptide receptor 1
SSTR2	somatostatin receptor 2
TACR3	tachykinin receptor 3
CABP7	calcium binding protein 7
HBB	hemoglobin, beta
HBZ	hemoglobin, zeta
HPCAL1	hippocalcin-like 1
VAT1L	vesicle amine transport 1-like
ZNF804A	zinc finger protein 804A
CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit
CHRNA2	cholinergic receptor, nicotinic, alpha 2 (neuronal)
CHRNA7	cholinergic receptor, nicotinic, alpha 7 (neuronal)
CHRNB3	cholinergic receptor, nicotinic, beta 3 (neuronal)
CHRNB4	cholinergic receptor, nicotinic, beta 4 (neuronal)
GABRA4	gamma-aminobutyric acid (GABA) A receptor, alpha 4
GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2
GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3
GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1
GABRG2	gamma-aminobutyric acid (GABA) A receptor, gamma 2
GRIA1	glutamate receptor, ionotropic, AMPA 1
GRIA2	glutamate receptor, ionotropic, AMPA 2
GRIA3	glutamate receptor, ionotropic, AMPA 3
GRIK1	glutamate receptor, ionotropic, kainate 1
GRIK2	glutamate receptor, ionotropic, kainate 2
GRIK3	glutamate receptor, ionotropic, kainate 3
GRIK4	glutamate receptor, ionotropic, kainate 4
GRIN1	glutamate receptor, ionotropic, N-methyl D-aspartate 1
GRIN2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B
HTR3A	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic
KCNA6	potassium channel, voltage gated shaker related subfamily A, member 6
KCNB1	potassium channel, voltage gated Shab related subfamily B, member 1
